month,year,F20_F21,F21_S22,S22_F22,F22_S23,S23_F23,F23_S24,S24_F24,F24_W25,W25_S25,S25_W26
9,2020,1,0,0,0,0,0,0,0,0,0
10,2020,1,0,0,0,0,0,0,0,0,0
11,2020,1,0,0,0,0,0,0,0,0,0
12,2020,1,0,0,0,0,0,0,0,0,0
1,2021,1,0,0,0,0,0,0,0,0,0
2,2021,1,0,0,0,0,0,0,0,0,0
3,2021,1,0,0,0,0,0,0,0,0,0
4,2021,1,0,0,0,0,0,0,0,0,0
5,2021,1,0,0,0,0,0,0,0,0,0
6,2021,1,0,0,0,0,0,0,0,0,0
7,2021,1,0,0,0,0,0,0,0,0,0
8,2021,1,0,0,0,0,0,0,0,0,0
9,2021,1,0,0,0,0,0,0,0,0,0
10,2021,0,1,0,0,0,0,0,0,0,0
11,2021,0,1,0,0,0,0,0,0,0,0
12,2021,0,1,0,0,0,0,0,0,0,0
1,2022,0,1,0,0,0,0,0,0,0,0
2,2022,0,1,0,0,0,0,0,0,0,0
3,2022,0,1,0,0,0,0,0,0,0,0
4,2022,0,0,1,0,0,0,0,0,0,0
5,2022,0,0,1,0,0,0,0,0,0,0
6,2022,0,0,1,0,0,0,0,0,0,0
7,2022,0,0,1,0,0,0,0,0,0,0
8,2022,0,0,1,0,0,0,0,0,0,0
9,2022,0,0,1,0,0,0,0,0,0,0
10,2022,0,0,0,1,0,0,0,0,0,0
11,2022,0,0,0,1,0,0,0,0,0,0
12,2022,0,0,0,1,0,0,0,0,0,0
1,2023,0,0,0,1,0,0,0,0,0,0
2,2023,0,0,0,1,0,0,0,0,0,0
3,2023,0,0,0,1,0,0,0,0,0,0
4,2023,0,0,0,0,1,0,0,0,0,0
5,2023,0,0,0,0,1,0,0,0,0,0
6,2023,0,0,0,0,1,0,0,0,0,0
7,2023,0,0,0,0,1,0,0,0,0,0
8,2023,0,0,0,0,1,0,0,0,0,0
9,2023,0,0,0,0,1,0,0,0,0,0
10,2023,0,0,0,0,0,1,0,0,0,0
11,2023,0,0,0,0,0,1,0,0,0,0
12,2023,0,0,0,0,0,1,0,0,0,0
1,2024,0,0,0,0,0,1,0,0,0,0
2,2024,0,0,0,0,0,1,0,0,0,0
3,2024,0,0,0,0,0,1,0,0,0,0
4,2024,0,0,0,0,0,0,1,0,0,0
5,2024,0,0,0,0,0,0,1,0,0,0
6,2024,0,0,0,0,0,0,1,0,0,0
7,2024,0,0,0,0,0,0,1,0,0,0
8,2024,0,0,0,0,0,0,1,0,0,0
9,2024,0,0,0,0,0,0,1,0,0,0
10,2024,0,0,0,0,0,0,0,1,0,0
11,2024,0,0,0,0,0,0,0,1,0,0
12,2024,0,0,0,0,0,0,0,1,0,0
1,2025,0,0,0,0,0,0,0,0,1,0
2,2025,0,0,0,0,0,0,0,0,1,0
3,2025,0,0,0,0,0,0,0,0,1,0
4,2025,0,0,0,0,0,0,0,0,1,0
5,2025,0,0,0,0,0,0,0,0,1,0
6,2025,0,0,0,0,0,0,0,0,1,0
7,2025,0,0,0,0,0,0,0,0,0,1
8,2025,0,0,0,0,0,0,0,0,0,1
9,2025,0,0,0,0,0,0,0,0,0,1
10,2025,0,0,0,0,0,0,0,0,0,1
11,2025,0,0,0,0,0,0,0,0,0,1
12,2025,0,0,0,0,0,0,0,0,0,1
1,2026,0,0,0,0,0,0,0,0,0,1
